title,price_gbp,rating,availability,in_stock,category,detail_url,listing_page
It's Only the Himalayas,45.17,2,In stock,True,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,True,Travel,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,True,Travel,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,In stock,True,Travel,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Under the Tuscan Sun,37.33,3,In stock,True,Travel,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
A Summer In Europe,44.34,2,In stock,True,Travel,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
The Great Railway Bazaar,30.54,1,In stock,True,Travel,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
A Year in Provence (Provence #1),56.88,4,In stock,True,Travel,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,In stock,True,Travel,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Neither Here nor There: Travels in Europe,38.95,3,In stock,True,Travel,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
"1,000 Places to See Before You Die",26.08,5,In stock,True,Travel,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Sharp Objects,47.82,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
"In a Dark, Dark Wood",19.63,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Past Never Ends,56.5,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Murder in Time,16.64,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Last Mile (Amos Decker #2),54.21,2,In stock,True,Mystery,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
That Darkness (Gardiner and Renner #1),13.92,1,In stock,True,Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
